Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Alcohol/Vol,Made In,By,Sugar Content,Varietal,Release Date,Lat,Lon,Savings
 The Black Chook Shiraz/Viognier,21.95,19.95,4.8,-4,  750 ml bottle ,"Adding a splash of the white grape Viognier to Shiraz imparts some white wine aromatics and flavour nuances to the final wine. It's big, fleshy, silky and generous, with blackberry, vanilla, cocoa, spice, and a perfumed floral note (hello Viognier, we see you). Pair with slow-cooked beef brisket.",Red Wine,14.50%," South Australia,   Australia ",The Black Chook,3,Shiraz Blend,"  April†1,†2022  ",-30.5343665,135.6301212,2
 Ghost Pines Winemaker's Blend Chardonnay,22.95,20.95,4.8,-5,  750 ml bottle ,"Specialists in sourcing and blending grapes from top sites across California, Ghost Pines forgoes regional specificity when creating their wines. It's a bold and successful model that allows them to take full advantage of California's best. This Chardonnay is mellow and supple, with nuts, yellow plum, vanilla, toast and fig notes. Pair it with grilled lobster or creamy chicken soup.",White Wine,14%," California,   United States ",Ghost Pines,4,Chardonnay,"  April†1,†2021  ",36.7014631,-118.755997,2
 le Fat Bastard Chardonnay Pays D'Oc,17,15,5,-1,  750 ml bottle ,"Medium straw colour; floral, fresh fig, nuts, herbal and pear aromas; dry, fig, pear and hazelnut flavours, buttery texture, well balanced with a medium-length finish.",White Wine,13%," South of France,   France ",Fat Bastard,2,Chardonnay,,46,2,2
 Fuzion Alta Reserve Malbec,15,13,3.6,-8,  750 ml bottle ,"Bold, balanced and brawny, this spicy Argentinian favourite packs in upfront black plum, toast, vanilla and chocolate flavours. It's also a terrific value.",Red Wine,14%,  Argentina ,Fuzion,4,Malbec,,-34.9964963,-64.9672817,2
 The Foreign Affair The Conspiracy,19.95,16.95,4.4,-14,  750 ml bottle ,"Following the ripasso method perfected in Italy's Veneto region, this unique wine uses dried grapes to add richness and depth to the notes of fresh and dried prune, floral elements, smoke, dark fruit and licorice. An impressive wine that's perfect for grilled red meats.",Red Wine,12.80%," Ontario,   Canada ",The Foreign Affair,5,Cabernet Sauvignon/Merlot/Cabernet Franc,"  April†1,†2021  ",50.000678,-86.000977,3
 Vineland Estates Unoaked Chardonnay VQA,15.95,13.95,4.5,-2,  750 ml bottle ,"Bright yellow colour; aromas of yellow plum, citrus, oatmeal, nuts and herbs; extra dry, medium bodied, with medium balanced acidity and a long fresh finish.",White Wine,13%," Ontario,   Canada ",Vineland Estates,5,Chardonnay,,50.000678,-86.000977,2
 Pelee Island Gewaºztraminer,12.45,11.45,4.7,-3,  750 ml bottle ,"Pale straw/yellow colour; pear, floral, lychee and melon aromas; dry, light to medium bodied, softly structured with balanced acidity, flavours of sweet pear, honeysuckle, rose water and lychee; hints of nuts on the finish.",White Wine,12.50%,  Canada ,Pelee Island,18,Gew√ºrztraminer,,61.0666922,-107.991707,1
 McGuigan Black Label Pinot Grigio,12.95,10.95,5,-2,  750 ml bottle ,"McGuigan Pinot Grigio offers good varietal character with nuts, fresh bread, grapefruit, floral and spice aromas and a balanced dry palate. Relatively low in acidity and light-plus in body, the palate offers flavours of nuts and grapefruit with a pleasing touch of spice on the finish.",White Wine,12%,  Australia ,McGuigan,10,Pinot Grigio,,-24.7761086,134.755,2
 Konzelmann Pinot Noir VQA,16.95,14.95,5,-3,  750 ml bottle ,"Ruby red colour; floral aromas of black cherry, then smoke, beetroot and nutmeg; extra dry, med-bodied with good acidity, cherry, smoky oak flavours with light earthy/mineral and spice notes; quite smooth with soft tannins & a fruity finish.",Red Wine,13%," Ontario,   Canada ",Konzelmann,10,Pinot Noir,,50.000678,-86.000977,2
 St. Francis Cabernet Sauvignon,35.95,32.95,4.1,-7,  750 ml bottle ,"Produced in Sonoma County, this wine has a smoother mouthfeel than its Napa counterparts. It's floral, refined and characterful, with great balance and notes of red and black fruit, cassis, oak spice, savoury herbs and smoke. Pair with roast lamb.",Red Wine,14.80%," California,   United States ",St. Francis,4,Cabernet Sauvignon,"  April†1,†2022  ",36.7014631,-118.755997,3
